block_label,block_content
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I have successfully sent ""Files/p2p_encryptions/ArcNoEncryption.apk"" file using these params:
| p62_req_file_name       | ArcNoEncryption.apk |
| p62_req_encoding_format | B                   |
| p62_req_fast_download   | 1                   |
| p62_req_unpack_flag     | 0                   |
Then I should receive the 62.x Write File response from terminal with params:
| p62_res_status      | 0          |
| p62_res_file_length | @regexp:.* |
When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 0  |"
Precondition,"@msr @pin @28x @29x @31x @00x @23x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000 @crf13
Feature: validate invalid PIN change where the cardholder types the second entered PIN with more than 10 digits
""""""
TestLink test case link : https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-1389
- The application validates the PIN according to the following rules:
In this testcase, we are testing an invalid PIN change where the cardholder will enter a strong PIN on the first and second attempts.
- The application validates the PIN according to the following rules:
- The first entered PIN does not match the second entered PIN.
- The second entered PIN:
- is not a weak PIN. The PIN is considered weak if:
- All digits in the PIN are the same (e.g., 4444, 3333)
- Each digit in the PIN is an increment of the previous digit (1234, 3456)
- Each digit in the PIN is a decrement of the previous digit (4321, 9876)
- The number of keys entered is more than four.
- The number of keys entered does not exceed 12.
- The third entered PIN matches the second entered PIN.
""""""
Scenario Outline: Perform MSR transaction and enter an invalid PIN change where the cardholder types the second entered PIN with more than 10 digits
Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
################## enable pin change support ###########################"
Unknown,"When I send a 28.x Set Variable message to the terminal with:
| p28_req_response_type | 1      |
| p28_req_variable_id   | 000920 |
| p28_req_variable_data | 1      |
Then I should receive the 28.x Set Variable response from terminal with params:
| p28_res_status      | 2      |
| p28_res_variable_id | 000920 |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 00000920 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000920 |
| p29_res_variable_data | true   |"
Unknown,"And I Wait until Element ""title"" contains ""This Lane Closed""
################## swipe card ###########################"
Card Swipe,"When I send a 23.x Card Read message to the terminal with:
| p23_req_prompt_index   | 311        |
| p23_req_form_name      | read_cards |
| p23_req_enable_devices | M          |
And I Wait until Element ""title"" contains ""Please swipe or insert card"""
Unknown,"And I wait until Element ""btn_cancel"" visible"
Card Swipe,"And Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 | <pan>=<exp_date><code><disc_data_t2>         |
| track3 | <additional_data><additional_data>           |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                            |
| p23_res_card_source | M                                            |
| p23_res_track1      | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p23_res_track2      | <pan>=<exp_date><code><disc_data_t2>         |
| p23_res_track3      | <additional_data><additional_data>           |"
Unknown,And I wait for 1 second
CVM Process,"When I send a 31.x PIN Entry message to the terminal with:
| p31_req_prompt_index_number          | 14 |
| p31_req_customer_acc_num             |    |
| p31_req_set_encryption_configuration | 0  |
| p31_req_set_key_type                 | D  |
| p31_req_form_name                    |    |
#################enter the weak pin################################
And I enter pin ""<weak_pin>"""
Unknown,"And I wait for 5 seconds
#################enter 10/11 digits pin pin################################"
Unknown,"And I enter pin ""<second_pin>"""
CVM Process,"And I wait for 11 seconds
####### 31.x should return A because the 2nd pin entry is 10 or 11 digits length################### #######################"
CVM Process,"Then I should receive the 31.x PIN Entry response from terminal with params:
| p31_res_status   | A |
| p31_res_pin_data |   |
############## variable keeps the value true since pin is not sucessfully changed ##########################"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 00000920 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000920 |
| p29_res_variable_data | true   |
Examples:
| card_type  | amount | pan              | name               | exp_date | code | disc_data_t1                 | disc_data_t2   | additional_data      | weak_pin | second_pin  |
| Mastercard | 120    | 5413339000000119 | TEST/CARD          | 2412     | 221  | 000000140000000              | 0000014000001  | 01234567890123456789 | 1111     | 5026301670  |
| Amex       | 1234   | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 15041234500000 |                      | 1234     | 6986301671  |
| VISA       | 56789  | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 0000070400100  |                      | 4567     | 9988112589  |
| DISCOVER   | 987654 | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 1000041300000  |                      | 9876     | 1122772211  |
| Diners     | 87654  | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 4321     | 11445332271 |"
Unknown,"@87x @msr @00x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature: MSR transaction using 87.x Card Read Request
""""""
This feature file Validates MSR transaction using 87.x Card Read Request
TestLink test case link: https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-1155
""""""
Scenario Outline: Check MSR flow while using 87.x with two tracks(track1 ,track2)"
Precondition,"Given I send a 00.x Offline message to the terminal with:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 87.x On-Guard and KME Card Read message to the terminal with:
| p87_req_prompt_index    | 3          |
| p87_req_form_name       | read_cards |
| p87_req_enabled_devices | M          |"
Unknown,"Then I Wait until Element ""title"" contains ""Please slide card""
And I wait until Element ""btn_cancel"" visible
And I wait for 1 second"
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data | <pan>=<exp_date><code><disc_data_t2>         |
| track3_data |                                              |
Then I should receive the 87.x On-Guard and KME Card Read Data response from terminal with params:
| p87_res_exit_type   | 0                                                                                                    |
| p87_res_card_source | M                                                                                                    |
| p87_res_card_data   | @regexp:^B<pan>\^<name>\^<exp_date><code><disc_data_t1>\x1C<pan>=<exp_date><code><disc_data_t2>\x1C$ |
Examples:
| card_type   | pan                 | name                      | exp_date | code  | disc_data_t1    | disc_data_t2 |
| MasterCard  | 6799998900000201011 | EKRLOFKPUUTQURT/ALMPWTZUL | 2007     | 707   | 122560965000469 | 965000469    |
| VISA        | 34798979016630      | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885   | 131026887693372 | 887693372    |
| AMEX 1      | 3715841319          | YYBROXFQJRXJW/EVXOV       | 2001     | 442   | 57431313685     | 13685        |
| NonStandard | 999000              | NENNAEVXO-VVVV            | 001      | 55442 | 333657431313685 | 000013685    |
Scenario Outline: Check MSR flow while using  87.x with  track1 only"
Precondition,"Given I send a 00.x Offline message to the terminal with:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |"
Unknown,"When I send a 87.x On-Guard and KME Card Read message to the terminal with:
| p87_req_prompt_index    | 3          |
| p87_req_form_name       | read_cards |
| p87_req_enabled_devices | M          |"
Unknown,"Then I Wait until Element ""title"" contains ""Please slide card""
And I wait until Element ""btn_cancel"" visible
And I wait for 1 second"
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data |                                              |
| track3_data |                                              |
Then I should receive the 87.x On-Guard and KME Card Read Data response from terminal with params:
| p87_res_exit_type   | 0                                                                |
| p87_res_card_source | M                                                                |
| p87_res_card_data   | @regexp:^B<pan>\^<name>\^<exp_date><code><disc_data_t1>\x1C\x1C$ |
Examples:
| card_type   | pan                 | name                      | exp_date | code  | disc_data_t1    | disc_data_t2 |
| MasterCard  | 6799998900000201011 | EKRLOFKPUUTQURT/ALMPWTZUL | 2007     | 707   | 122560965000469 | 965000469    |
| VISA        | 34798979016630      | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885   | 131026887693372 | 887693372    |
| AMEX 1      | 3715841319          | YYBROXFQJRXJW/EVXOV       | 2001     | 442   | 57431313685     | 13685        |
| NonStandard | 999000              | NENNAEVXO-VVVV            | 001      | 55442 | 333657431313685 | 000013685    |
Scenario Outline: Check MSR flow while using 87.x with track2 only"
Precondition,"Given I send a 00.x Offline message to the terminal with:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |"
Unknown,"When I send a 87.x On-Guard and KME Card Read message to the terminal with:
| p87_req_prompt_index    | 3          |
| p87_req_form_name       | read_cards |
| p87_req_enabled_devices | M          |"
Unknown,"Then I Wait until Element ""title"" contains ""Please slide card""
And I wait until Element ""btn_cancel"" visible
And I wait for 1 second"
Unknown,"When I swipe card using this params:
| track1_data |                                      |
| track2_data | <pan>=<exp_date><code><disc_data_t2> |
| track3_data |                                      |
Then I should receive the 87.x On-Guard and KME Card Read Data response from terminal with params:
| p87_res_exit_type   | 0                                                      |
| p87_res_card_source | M                                                      |
| p87_res_card_data   | @regexp:^\x1C<pan>=<exp_date><code><disc_data_t2>\x1C$ |
Examples:
| card_type   | pan            | name                      | exp_date | code  | disc_data_t1    | disc_data_t2 |
| MasterCard  | 45358179327829 | EKRLOFKPUUTQURT/ALMPWTZUL | 2007     | 707   | 122560965000469 | 965000469    |
| VISA        | 34798979016630 | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885   | 131026823693372 | 823693372    |
| AMEX 1      | 37158413190797 | YYBROXFQJRXJW/EVXOV       | 2001     | 442   | 57431313685     | 13685        |
| NonStandard | 999000         | NENNAEVXO-VVVV            | 001      | 55442 | 333657431313685 | 000013685    |"
Unknown,"@41x @msr @00x @24x @21x @27x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature: Validate On-Demand Messages using 41.x EFT message
""""""
This feature file Validates on-demand messages using 41.x EFT message
TestLink test case link:https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-1159.
""""""
Scenario Outline: On-Demand Messages using 41.x EFT message"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Display Confirmation,"When I send a 24.x Form Entry message to the terminal with params:
| p24_req_form_number | activity_main |
Then I should receive the 24.x Form Entry response from terminal with params:
| p24_res_exit_type | 0    |
| p24_res_keyid     | \x1F |"
Unknown,"And I Wait until Element ""title"" contains ""This Lane Closed"""
Unknown,"When I send a 21.x Numeric Input message to the terminal with:
| p21_req_display_char        | 0              |
| p21_req_min_input_length    | <min_input>    |
| p21_req_max_input_length    | <max_input>    |
| p21_req_prompt_index        | <prompt_index> |
| p21_req_form_specific_index | input_numeric  |
And I Wait until Element ""fixed_title"" contains ""<title>""
#And I wait until Element ""btn_cancel"" visible
And I wait until Element ""line_display"" visible"
Unknown,"When I click Element ""input_box"""
Unknown,"And  I send keys to Element ""input_box"" text ""<input_data>"" and then ENTER
Then I should receive the 21.x Numeric Input response from terminal with params:
| p21_res_exit_type  | 0            |
| p21_res_input_data | <input_data> |"
Display Confirmation,"When I send a 24.x Form Entry message to the terminal with params:
| p24_req_form_number | activity_main |
Then I should receive the 24.x Form Entry response from terminal with params:
| p24_res_exit_type | 0    |
| p24_res_keyid     | \x1F |"
Unknown,"And I Wait until Element ""title"" contains ""Welcome""
When I send a 27.x Alpha Input message to the terminal with params:
| p27_req_display_char     | 0           |
| p27_req_min_input_length | 00          |
| p27_req_max_input_length | 40          |
| p27_req_prompt_index     | 016         |
| p27_req_form_specificid  | input_alpha |
And I Wait until Element ""fixed_title"" contains ""Please enter Cashback:""
#And I wait until Element ""btn_cancel"" visible
And I wait until Element ""line_display"" visible"
Unknown,"When I click Element ""input_box"""
Unknown,"And I send keys to Element ""input_box"" text ""ISAT-v-1.9.66"" and then ENTER
Then I should receive the 27.x Alpha Input response from terminal with params:
| p27_res_exit_type  | 0             |
| p27_res_data_input | ISAT-v-1.9.66 |"
Unknown,"When I send a 41.x Card Read Message message to the terminal with params:
| p41_req_parse_flag       | 0 |
| p41_req_msr_flag         | 1 |
| p41_req_contactless_flag | 0 |
| p41_req_smc_flag         | 0 |"
Unknown,And I wait for 2 second
Unknown,"Then I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data | <pan>=<exp_date><code><disc_data_t2>         |
| track3_data |                                              |"
Unknown,When I wait for 5 second
Unknown,"Then I should receive the 41.x Card Read Message response from terminal with params:
| p41_res_source         | M                                            |
| p41_res_encryption     | 00                                           |
| p41_res_track_1_status | 0                                            |
| p41_res_track_2_status | 0                                            |
| p41_res_track_3_status | 1                                            |
| p41_res_track_1        | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p41_res_track_2        | <pan>=<exp_date><code><disc_data_t2>         |
| p41_res_track_3        |                                              |
| p41_res_error_code     | 0                                            |"
CVM Process,"When I send a 31.x Pin Entry message to the terminal with params:
| p31_req_set_key_type                 | D     |
| p31_req_set_encryption_configuration | 0     |
| p31_req_prompt_index_number          | 1     |
| p31_req_customer_acc_num             | <pan> |
| p31_req_form_name                    |       |
And I enter pin ""1234""
Then I should receive in '30' seconds the 31.x Pin Entry response from terminal with params:
| p31_res_status         | 0          |
| p31_res_pin_data       | @regexp:.* |
| p31_res_pin_data_block | @regexp:.* |
| p31_res_pin_data_ksn   | @regexp:.* |"
Display Confirmation,"When I send a 24.x Form Entry message to the terminal with params:
| p24_req_form_number | activity_main |
Then I should receive the 24.x Form Entry response from terminal with params:
| p24_res_exit_type | 0    |
| p24_res_keyid     | \x1F |"
Unknown,"And I Wait until Element ""title"" contains ""Welcome!""
When I send a 21.x Numeric Input message to the terminal with:
| p21_req_display_char        | 0              |
| p21_req_min_input_length    | <min_input>    |
| p21_req_max_input_length    | <max_input>    |
| p21_req_prompt_index        | <prompt_index> |
| p21_req_form_specific_index | input_numeric  |"
Unknown,"And I send a 41.x Card Read Message message to the terminal with params:
| p41_req_parse_flag       | 0 |
| p41_req_msr_flag         | 1 |
| p41_req_contactless_flag | 0 |
| p41_req_smc_flag         | 0 |"
Unknown,"And I Wait until Element ""fixed_title"" contains ""<title>""
And I wait until Element ""line_display"" visible
#And I wait until Element ""btn_cancel"" visible"
Display Confirmation,"When I send a 24.x Form Entry message to the terminal with params:
| p24_req_form_number | activity_main |"
Unknown,"Then I should receive the 21.x Numeric Input response from terminal with params:
| p21_res_exit_type  | a |
| p21_res_input_data |   |"
Display Confirmation,"And I should receive the 24.x Form Entry response from terminal with params:
| p24_res_exit_type | 0    |
| p24_res_keyid     | \x1F |"
Unknown,"And I Wait until Element ""title"" contains ""Welcome!"""
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |"
Unknown,"Then I should receive the 41.x response from terminal with params:
| p41_res_source         | U  |
| p41_res_encryption     | 98 |
| p41_res_track_1_status | 1  |
| p41_res_track_2_status | 1  |
| p41_res_track_3_status | 1  |
| p41_res_track_1        |    |
| p41_res_track_2        |    |
| p41_res_track_3        |    |
| p41_res_error_code     | a  |
And I wait 1 second"
Precondition,"And I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
Examples:
| card_type  | amount | pan              | name               | exp_date | code | disc_data_t1                                                                                             | disc_data_t2   | additional_data      | min_input | max_input | prompt_index | input_data | title                   |
| Mastercard | 120    | 5413339000000119 | TEST/CARD          | 2412     | 221  | 000000140000000\u001c5413339000000119=24122210000014000001\u001c0123456789012345678901234567890123456789 | 0000014000001  | 01234567890123456789 | 01        | 10        | 001          | 6724240113 | Enter home phone number |
| Amex       | 1234   | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                                                                                                | 15041234500000 |                      | 01        | 20        | 001          | 77457777   | Enter home phone number |
| VISA       | 56789  | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000                                                                             | 0000070400100  |                      | 01        | 40        | 001          | 558555     | Enter home phone number |
| DISCOVER   | 987654 | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                                                                                            | 1000041300000  |                      | 01        | 40        | 001          | 88855588   | Enter home phone number |
| Diners     | 87654  | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946                                                                                     | 1000041300000  | 01234567890123456789 | 01        | 40        | 001          | 74158552   | Enter home phone number |
@pin_code @master_session @tep6 @msr @00x @60x @61x @23x @31x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature:  Validate  pin block decryption is correct when TEP6 enabled
""""""
This feature file verify pin block decryption is correct when TEP6 enabled
based on ticket https://ingenico-nar.atlassian.net/browse/ARC-1772
""""""
Scenario: Enable Voltage TEP6 Encryption Configuration
Given I send a 00.x Offline message to the terminal with:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed"""
Unknown,"When I have successfully sent ""Files/p2p_encryptions/voltage_31_default-signed.apk"" file using these params:
| p62_req_file_name       | voltage_31_default-signed.apk |
| p62_req_encoding_format | B                             |
| p62_req_fast_download   | 1                             |
| p62_req_unpack_flag     | 0                             |
And I should receive the 62.x File Write response from terminal with params:
| p62_res_status      | 0            |
| p62_res_file_length | @regexp:.\d* |
When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 31 |
When I send a 90.x MSR Encryption message to the terminal with:
| p90_req_function | 0 |
Then I should receive the 90.x MSR Encryption response from terminal with params:
| p90_res_function | 0          |
| p90_res_status   | 0          |
| p90_res_etb      | @regexp:.* |
Scenario Outline: verify pin block decryption is correct with masked pan"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 31 |"
Card Swipe,"When I send a 23.x Read Card message to the terminal with:
| p23_req_prompt_index   | 3 |
| p23_req_enable_devices | M |
Then I Wait until Element ""title"" contains ""Please slide card""
And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 | <pan>=<exp_date><code><disc_data_t2>         |
| track3 | <additional_data><additional_data>           |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0          |
| p23_res_card_source | M          |
| p23_res_track1      | @regexp:.* |
| p23_res_track2      | @regexp:.* |
| p23_res_track3      | @regexp:.* |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 000398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000398     |
| p29_res_variable_data | @regexp:.* |"
CVM Process,"When I send a 31.x PIN Entry message to the terminal with:
| p31_req_prompt_index_number          | 1                                                |
| p31_req_customer_acc_num             | @cache:upp:response:-1:['p29_res_variable_data'] |
| p31_req_set_encryption_configuration | 0                                                |
| p31_req_set_key_type                 | *                                                |
| p31_req_form_name                    |                                                  |
And I enter pin ""<pin_code>""
Then I should receive the 31.x PIN Entry response from terminal with params:
| p31_res_status         | 0          |
| p31_res_pin_data       | @regexp:.* |
| p31_res_pin_data_ksn   | @regexp:.* |
| p31_res_pin_data_block | @regexp:.* |"
Unknown,"And I will decrypt pin block from 'p31_res_pin_data_block' using the sequence of pan: '<pan>' and parameters 'p31_res_pin_data_ksn' and expect:
| length   | <pin_length>                  |
| pin_code | <pin_code>                    |
| tail     | <tail>                        |
| pinblock | 0<pin_length><pin_code><tail> |
Examples:
| card_type  | pan                | name               | exp_date | code | disc_data_t1         | disc_data_t2   | additional_data      | pin_code | pin_length | tail       |
| Mastercard | 5413330089020011   | TEST/CARD          | 1225     | 221  | 000000140000000      | 0000014000001  | 01234567890123456789 | 0000     | 4          | ffffffffff |
| Amex       | 374245002771003    | XP CARD 07/VER 2.0 | 1125     | 2222 | 150412345            | 15041234500000 |                      | 1234     | 4          | ffffffffff |
| DISCOVER   | 651000000880000091 | CARD/IMAGE 09      | 0626     | 702  | 0074901              | 0897740001     |                      | 12345    | 5          | fffffffff  |
| Diners     | 36039667170472     | PETTITT/JO         | 1200     | 521  | 1000041300000        | 1000041300000  |                      | 432100   | 6          | ffffffff   |
| VISA       | 4264510228321      | JOHN/SMITH         | 0725     | 206  | 16010000000000000946 | 1000041300000  |                      | 5522     | 4          | ffffffffff |
| DISCOVER   | 65100000111331191  | CARD/IMAGE 08      | 0626     | 702  | 16010000000000000946 | 1000041300000  | 01234567890123456789 | 1133     | 4          | ffffffffff |
| VISA       | 4264510228321      | JOHN/SMITH         | 0725     | 206  | 16010000000000000946 | 1000041300000  |                      | 5522110  | 7          | fffffff    |
| Amex       | 374245002771003    | XP CARD 07/VER 2.0 | 1125     | 2222 | 150412345            | 15041234500000 |                      | 12341234 | 8          | ffffff     |
Scenario: Teardown - Reset to Default State"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I have successfully sent ""Files/p2p_encryptions/ArcNoEncryption.apk"" file using these params:
| p62_req_file_name       | ArcNoEncryption.apk |
| p62_req_encoding_format | B                   |
| p62_req_fast_download   | 1                   |
| p62_req_unpack_flag     | 0                   |
Then I should receive the 62.x Write File response from terminal with params:
| p62_res_status      | 0          |
| p62_res_file_length | @regexp:.* |
When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 0  |"
Precondition,"@msr @pin @28x @29x @31x @00x @23x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000 @crf13
Feature: validate an valid PIN change where the cardholder will type the second entered PIN is more than 4 digits and less than 10 digits
""""""
TestLink test case link : https://testlink.evf.us/linkto.php?tprojectPrefix=ARC&item=testcase&id=ARC-1388
- The application validates the PIN according to the following rules:
In this testcase, we are testing an invalid PIN change where the cardholder will enter a strong PIN on the first and second attempts.
- The application validates the PIN according to the following rules:
- The first entered PIN does not match the second entered PIN.
- The second entered PIN:
- is not a weak PIN. The PIN is considered weak if:
- All digits in the PIN are the same (e.g., 4444, 3333)
- Each digit in the PIN is an increment of the previous digit (1234, 3456)
- Each digit in the PIN is a decrement of the previous digit (4321, 9876)
- The number of keys entered is more than four.
- The number of keys entered does not exceed 12.
- The third entered PIN matches the second entered PIN.
""""""
Scenario Outline: Perform MSR transaction and valid PIN change where the cardholder will type the second entered PIN is more than 4 digits and less than 10 digits
Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
################## enable pin change support ###########################"
Unknown,"When I send a 28.x Set Variable message to the terminal with:
| p28_req_response_type | 1      |
| p28_req_variable_id   | 000920 |
| p28_req_variable_data | 1      |
Then I should receive the 28.x Set Variable response from terminal with params:
| p28_res_status      | 2      |
| p28_res_variable_id | 000920 |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 00000920 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000920 |
| p29_res_variable_data | true   |"
Unknown,"And I Wait until Element ""title"" contains ""This Lane Closed""
################## swipe card ###########################"
Card Swipe,"When I send a 23.x Card Read message to the terminal with:
| p23_req_prompt_index   | 311        |
| p23_req_form_name      | read_cards |
| p23_req_enable_devices | M          |
And I Wait until Element ""title"" contains ""Please swipe or insert card"""
Unknown,"And I wait until Element ""btn_cancel"" visible"
Card Swipe,"And Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 | <pan>=<exp_date><code><disc_data_t2>         |
| track3 | <additional_data><additional_data>           |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                            |
| p23_res_card_source | M                                            |
| p23_res_track1      | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p23_res_track2      | <pan>=<exp_date><code><disc_data_t2>         |
| p23_res_track3      | <additional_data><additional_data>           |"
Unknown,And I wait for 1 second
CVM Process,"When I send a 31.x PIN Entry message to the terminal with:
| p31_req_prompt_index_number          | 14 |
| p31_req_customer_acc_num             |    |
| p31_req_set_encryption_configuration | 0  |
| p31_req_set_key_type                 | D  |
| p31_req_form_name                    |    |
#################enter the weak pin################################
And I enter pin ""<weak_pin>"""
Unknown,"And I wait for 4 seconds
#################enter strong pin >4digits################################"
Unknown,"And I enter pin ""<strong_pin>""
######################## reenter the strong pin  #####################"
Unknown,And I wait for 7 seconds
CVM Process,"And I enter pin ""<strong_pin>""
Then I should receive the 31.x PIN Entry response from terminal with params:
| p31_res_status         | 0          |
| p31_res_pin_data       | @regexp:.* |
| p31_res_pin_data_ksn   | @regexp:.* |
| p31_res_pin_data_block | @regexp:.* |
############### variable is back to false after pin change ############################"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 00000920 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000920 |
| p29_res_variable_data | false   |
Examples:
| card_type  | amount | pan              | name               | exp_date | code | disc_data_t1                 | disc_data_t2   | additional_data      | weak_pin | strong_pin |
| Mastercard | 120    | 5413339000000119 | TEST/CARD          | 2412     | 221  | 000000140000000              | 0000014000001  | 01234567890123456789 | 1111     | 15933       |
| Amex       | 1234   | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 15041234500000 |                      | 1234     | 010198      |
| VISA       | 56789  | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 0000070400100  |                      | 4567     | 3124312     |
| DISCOVER   | 987654 | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 1000041300000  |                      | 9876     | 02580259    |
| Diners     | 87654  | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 1000041300000  | 01234567890123456789 | 7777     | 998866027   |"
